Brand,Model Name,Frame Color,Lens Color,List Price (£)
Ray-Ban,RB3025 Aviator Total Black,Black,Polarized Black,184.00
Oakley,OO9102 Holbrook™,Polished Black,Prizm Deep Water Polarized,175.00
Dolce&Gabbana,DG4403,Blue Horn,Dark Blue,224.00
Gucci,GG0341S,Shiny Black,Grey Polar,320.00
Burberry,BE4337 CARNABY,Black,Dark Grey,185.00
Prada,PR 19WS,Black,Dark Grey,315.00
Versace,VE2199,Havana,Dark Grey Mirror Gold,224.00
Oakley,OO9188 Flak® 2.0 XL,Matte Black,Prizm Trail Torch,152.00
Gucci,GG0010S,Black,Grey,280.00
Versace,VE4406,Black,Orange,204.00
Ray-Ban,RB3016 Clubmaster Classic,Grey On Black,Dark Grey,137.00
Ray-Ban,RB4376,Transparent,Grey Gradient,127.00
Oakley,OO9406 Sutro,Black Ink,Prizm Jade,144.00
Ray-Ban,RB3447 Round Metal,Gold,Green  G-15,184.00
Ray-Ban,RB2132 New Wayfarer Classic,Black On Gold,Green,175.00
Prada Linea Rossa,PS 01XS,Black Rubber,Dark Grey Mirror Blue/Red,204.00
Fendi,FE40006U,Tortoise,Brown,400.00
Ralph Lauren,RL8182,Shiny Black,Dark Grey,163.00
Prada,PR 09ZS,Black,Dark Grey,376.00
Tom Ford,FT0698,Tortoise,Grey Polar,290.00
Dolce&Gabbana,DG4354,Black,Dark Grey,263.00
Burberry,BE4181,Black,Grey,204.00
Oakley,OO9448 Sylas,Polished Rootbeer,Prizm Bronze,107.00
Ray-Ban,RB2180,Light Havana,Brown,156.00
Persol,PO0649 649 - Original,Havana,Green,195.00
Ray-Ban,RB3548N Hexagonal Flat Lenses,Gold,G-15 Green,137.00
Dolce&Gabbana,DG6125,White,Light Grey Mirror Grad Silver,243.00
Ray-Ban,RB2198 Bill,Havana,Blue,137.00
Ray-Ban,RB3588,Brown,Brown Gradient Dark Brown,137.00
Oakley,OO9208 Radar® EV Path®,Polished White,Prizm Snow Sapphire,174.00
Ray-Ban,RB0840S Mega Wayfarer,Striped Havana,Brown,194.00
Burberry,BE4291,Blue,Blue,204.00
Oakley,OO9100 Leffingwell,Black Ink,Prizm Sapphire Polarized,175.00
Versace,VE4369,Black,Dark Grey Polar,263.00
Ray-Ban,RB2298 HAWKEYE,Green,Grey Gradient Polar,204.00
Oakley,OO9463 Sutro Lite,Matte Black,Prizm Road Jade,152.00
Gucci,GG0528S,Silver Shiny,Grey,330.00
Ray-Ban,RB3668,Black,Dark Blue,109.00
Prada Linea Rossa,PS 01US ACTIVE,Rubber Black,Blue Tuning,214.00
Prada Linea Rossa,PS 06VS,Black,Grey Gradient,185.00
Ray-Ban,RB2140 Original Wayfarer Classic,Tortoise,G-15 Green,137.00
Gucci,GG0381SN,Black,Black,310.00
Prada,PR 58YS,Black,Dark Grey,335.00
Ray-Ban,RB2283 Burbank,Transparent Grey,Grey Gradient,156.00
Ray-Ban,RB3594 Ray-Ban Beat,Gold,Dark Brown,128.00
Prada,PR 06YS,Black/White,Dark Grey,315.00
Dolce&Gabbana,DG6177,Black,Dark Grey,224.00
Versace,VE2242,Gunmetal,Light Grey Mirror Black,243.00
Ray-Ban,RB4471 Iris,Black On Transparent,Grey,127.00
Oakley,OO9154 Half Jacket® 2.0 XL,Polished Black,Prizm Golf,126.00
Oakley,OO4147 Contrail,Satin Black,Prizm Sapphire Polarized,206.00
Ray-Ban,RB4171 Erika Classic,Light Havana,Brown,156.00
Ray-Ban,RW4002 Ray-Ban Stories | Wayfarer,Shiny Brown,Brown Polarized,329.00
Ray-Ban,RB3386,Gunmetal,Green Classic,137.00
Ray-Ban,RB2027 Predator 2,Black,Polarized Grey Mirror,194.00
Ray-Ban,RB3025 Aviator Classic,Black,Polarized Green Classic G-15,184.00
Ray-Ban,RB4387,Transparent,Grey Gradient,127.00
Ray-Ban,RB3558,Black,Grey,175.00
Gucci,GG0200S,Black Gold,Green,340.00
Ray-Ban,RB3625 New Aviator,Black,Dark Grey,137.00
Ray-Ban,RB3565 Jack,Black,Polarized Black,184.00
Ray-Ban,RB4187 Chris,Transparent Green,Dark Grey,146.00
Oakley,OO9417 Holbrook™ XL,Matte Black,Prizm Grey,125.00
Oakley,OO9239 Crankshaft™,Matte Black Camo,Ruby Iridium Polarized,165.00
Ray-Ban,RB3669,Black,Dark Blue,109.00
Oakley,OO9013 Frogskins™,Crystal Clear,Prizm Sapphire,117.00
Ray-Ban,RB3636 New Caravan,Gold,Green,137.00
Persol,PO3264S,Black/Gold,Polarized Dark Black,302.00
Ray-Ban,RB4306,Striped Bordeaux Havana,Dark Violet,128.00
Ray-Ban,RB3682,Gold,Gradient Brown,118.00
Dolce&Gabbana,DG2220,Bronze/Havana,Polar Green,282.00
Gucci,GG1042S,Brown,Green,300.00
Ray-Ban,RB3025 Aviator Total Black,Black,Polarized Black,184.00
Oakley,OO9102 Holbrook™,Polished Black,Prizm Deep Water Polarized,175.00
Dolce&Gabbana,DG4403,Blue Horn,Dark Blue,224.00
Gucci,GG0341S,Shiny Black,Grey Polar,320.00
Burberry,BE4337 CARNABY,Black,Dark Grey,185.00
Prada,PR 19WS,Black,Dark Grey,315.00
Versace,VE2199,Havana,Dark Grey Mirror Gold,224.00
Oakley,OO9188 Flak® 2.0 XL,Matte Black,Prizm Trail Torch,152.00
Gucci,GG0010S,Black,Grey,280.00
Versace,VE4406,Black,Orange,204.00
Ray-Ban,RB3016 Clubmaster Classic,Grey On Black,Dark Grey,137.00
Ray-Ban,RB4376,Transparent,Grey Gradient,127.00
Oakley,OO9406 Sutro,Black Ink,Prizm Jade,144.00
Ray-Ban,RB3447 Round Metal,Gold,Green  G-15,184.00
Ray-Ban,RB2132 New Wayfarer Classic,Black On Gold,Green,175.00
Prada Linea Rossa,PS 01XS,Black Rubber,Dark Grey Mirror Blue/Red,204.00
Fendi,FE40006U,Tortoise,Brown,400.00
Ralph Lauren,RL8182,Shiny Black,Dark Grey,163.00
Prada,PR 09ZS,Black,Dark Grey,376.00
Tom Ford,FT0698,Tortoise,Grey Polar,290.00
Dolce&Gabbana,DG4354,Black,Dark Grey,263.00
Burberry,BE4181,Black,Grey,204.00
